got_posted,_projectid,_teacherid,title,essay,need_statement,created_date
t,e565fb42185c6e9f22806ad9d5ac8a77,2e17c8c91cb58132d8103a9aa8797e80,SAT Review Books for my 11th grade English class,"One of my classes this year has been an 11th grade  English class.  These students will be taking the SAT next year and I know that they are not ready to do well.  

Unlike students in more well-financed school districts, they have not had access to spec","18 copies of ""Cracking the SAT and PSAT 2000"" cost $11, including <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fu",2000-05-17
t,76108ed46f99f27beb4c605b69c92b07,6b3721c9585633fa716e629ec501ff5a,"""Baby Think It Over"" doll for pregnancy/parenting unit","I am a health teacher at Wings Academy High School. As you know, in many communities across the country, there is an increase in teen-age pregnancies. 

I do a pregnancy/parenting component in the Health curriculum. The students(male and female) simulate","A standard ""Baby Think it Over"" doll, 6 cloth diapers, instructor handbook, and student video (all purchased from babythinkitover.com) cost $11, including <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http:/",2000-05-17
t,2568882e4906849754bbe7246d01ed5e,ed55d66251be5810b38e1b2505b7673d,"Trip to see RENT on Broadway, for AIDS Walk participants","I teach 9th and 10th grade Spanish at Wings Academy, and I have also lead our AIDS Walk NY team for the past three years.  In my experience, students frequently have uninformed views about HIV/AIDS, and homophobia runs rampant at our school.  Seeing RENT w","The cost of this proposal is $354, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fulfillmen",2000-05-19
t,e49f6d07f9da7086d2d823311639f479,ba7ada7b8ef61280b6e8783b59625650,A classroom College Resource Center for my Advisory,"I am a History teacher at WINGS Academy High School in the Bronx.  Approximalty 90 percent of our students receive free or reduced lunch. <P>In addition to teaching 11th and 12th grade History, I am an advisor to 28 ninth graders. As their advisor, I serve","The cost of this proposal is $425, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fulfillmen",2000-05-19
t,548b161b4e808fb580075e03774da1b9,58574f5ee5f3d74a4be12379f8097310,Graduation Gifts/ Various Novels by African-American and Latino Writers.,"	I am currently the head of the English Department at Wings Academy, a small alternative coalition school in the South Bronx.  Many of my students live in the Bronx River Housing projects in the neighborhood or ""zone"" of the school.  Most of my students (a","The cost of this proposal is $363, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fulfillmen",2000-05-19
t,dfc5e3a3bd22d8ee9d55e2ec29d1f1eb,fedc7312fac70db43893744ace15f187,Immigration Novels as Summer Reading Gifts,"I teach 11th-grade Literature at my alternative High School in the Bronx, Wings Academy.  About 90% of our students receive free or reduced-price lunch. 

This year, my Lit. students have been studying the literature of Immigration.  As end-of-year rewar","The 37 novels listed above, purchased from amazon.com, cost $474, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwin",2000-05-19
t,be3c6a88818ef68fdfc00706e8950f8b,2e6deb2edcb9b2ef9bf4760c56661727,Slide projector for history presentations and project: What is the geography around us?,"I teach 9th grade Humanities at Wings Academy, located in the Bronx.  Roughly 90% of my students receive free or reduced lunch.

Geography is an integral part of the 9th grade curriculum, and yet the students do not seem to have a true understanding that","The cost of this proposal is $491, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fulfillmen",2000-05-23
t,dd7ed1d74f70fb0e72c409d495e2eec3,d8f151a88a6d298fe5e6de3633a9cd75,"Invite Moctar Teyeb, Runaway Slave from Mauritania, to Speak to History Class","I teach 10th grade English at Wings Academy, an alternative high school in central Bronx. About 80% of Wings Academy students receive free or reduced price lunch.  

Before beginning a unit on American slavery, we read an article in the New Yorker about","The Lavin Agency, which represents Teyeb and other political activists, charges $2,500 for a speech by Teyeb (usually at universities). For Wings Academy, the fee has been reduced to $488, including <a target=""new"" href=""http://www.donorschoose.org/html/fu",2000-05-24
t,c5d4a7877c463ed59e9aa7155f13fd59,262af4de8528628259ac9c6bb3ba386e,Bodega Dreams for my Mixed-Grade Class,"I teach at Satellite Academy, an alternative high school in the South bronx. I teach various levels of students because our classes are mixed in grade levels.  About 80% of our students receive free school lunch.<P>I would like my thirty students to read E","The cost of this proposal is $392, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fulfillmen",2001-02-07
t,8d94b238b50e7fadefb54afecc7aaa91,f8e7fa9cc031249fa67490fb41a5e30b,Measure the Bronx River's Health with a Dissolved Oxygen Meter,"I am a science teacher at Bronx Satellite Academy located in the South Bronx near the Intervale #2 stop.  Roughly 80% of our students receive free or reduced-price lunches. <P>I teach a class on Water Resources.  In the class, we examine the chemistry of w","The cost of this proposal is $1098, including shipping and <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.htm', 300, 800, 'fulfillwindow');return false;"">fulfillme",2001-02-09
t,8b19da4400111a0d63c0d9135b573823,760f8b3ac86e3ac286c6e0d4bdd9a039,Let's Erase Illiteracy: Build a Classroom library,"I am an English teacher of 10th grade students at Wings Academy High School in the Bronx, West Farms neighborhood.  More than 90% of the students receive free lunch daily. 

It is my first year at this school and I am very disappointed with the lack of r","Thirty-two works of fiction and non-fiction would be purchased in quantities of 3-5 (to encourage student book clubs), in addition to class sets of 5 titles. The books range from John Knowles 'A Separate Peace' to Sister Souljah's 'Coldest Winter Ever,' fr",2001-02-13
t,4f93f03be059a8772af8cd769d3d4d3c,e5d28482308e2007992ae8b358b31bce,Improv Class for a Talented Senior,"I teach US History and Economics to tenth through twelfth graders at Bronx Satellite Academy, an alternative high school in the South Bronx. I use many different dramatic and role playing exercises to enhance students' understanding of social studies. 

","Tuition for the 8-session, 1-performance spring improv class offered by Upright Citizens Brigade is $366, including <a target=""new"" href=""http://www.donorschoose.org/html/fulfillment.htm"" onclick=""g_openWindow('http://www.donorschoose.org/html/fulfillment.",2001-02-15
