feature,,Binary Coefficients,abs,nulls,distinct_count,mean,mean_rej,mean_app,std_dev,top10Values,dtype,i
school_magnet,School: Magnet,-0.280641214,0.280641214,0,2,0.56845254,0.573420223,0.563484857,0.4952987,"1    21284
0    16158
dtype: int64",float64,163
school_state_AZ,School State: AZ,-0.286929637,0.286929637,0,2,0.304016879,0.304417499,0.30361626,0.459995943,"0    26059
1    11383
dtype: int64",float64,166
school_state_ME,School State: ME,-0.289801854,0.289801854,0,2,0.142326799,0.137866567,0.146787031,0.34938967,"0    32113
1     5329
dtype: int64",float64,165
secondary_focus_subject_Foreign Languages,2nd Subject: Foreign Languages,-0.294219269,0.294219269,0,2,0.343464559,0.313551627,0.373377491,0.474871223,"0    24582
1    12860
dtype: int64",float64,169
primary_focus_subject_Extracurricular,1st Subject: Extracurricular,0.319927065,0.319927065,0,2,0.163506223,0.175791891,0.151220554,0.369831842,"0    31320
1     6122
dtype: int64",float64,168
secondary_focus_subject_Civics & Government,2nd Subject: Civics & Government,0.324455494,0.324455494,0,2,0.017520432,0.018428503,0.01661236,0.131201851,"0    36786
1      656
dtype: int64",float64,75
school_state_MT,School State: MT,0.337245059,0.337245059,0,2,0.001308691,0.000854655,0.001762726,0.036152635,"0    37393
1       49
dtype: int64",float64,71
resource_type_Visitors,Resource Type: Visitor,0.376591787,0.376591787,0,2,0.014929758,0.013888147,0.015971369,0.121273464,"0    36883
1      559
dtype: int64",float64,49
primary_focus_subject_Gym & Fitness,1st Focus Subject: Gym & Fitness,-0.382982736,0.382982736,0,2,0.055178676,0.055873084,0.054484269,0.228331738,"0    35376
1     2066
dtype: int64",float64,151
school_state_IL,School State: IL,0.429634267,0.429634267,0,2,0.004193152,0.004273276,0.004113028,0.06461951,"0    37285
1      157
dtype: int64",float64,62
school_state_NM,School State: NM,0.784618814,0.784618814,0,2,0.048822178,0.047647027,0.049997329,0.215498987,"0    35614
1     1828
dtype: int64",float64,44
secondary_focus_area_History & Civics,2nd Focus Area: History & Civics,-0.900969587,0.900969587,0,2,0.010923562,0.011858341,0.009988783,0.103944823,"0    37033
1      409
dtype: int64",float64,99
school_state_MA,School State: MA,0.975856712,0.975856712,0,2,0.001201859,0.001762726,0.000640991,0.03464746,"0    37397
1       45
dtype: int64",float64,161
