,coef
student,-7.147689843423007
thier,-6.3892945525935385
pastel,5.097214173273003
materi,-5.066935555376045
bead,4.990288052199151
tub,4.7672749246656725
hp,4.617261914440535
cant,-4.514246513890414
kit,3.786634125940003
glaze,3.3803584166006595
hatch,3.232148021499036
bulli,3.1012153274960994
hurrican,2.967885527703453
vision,-2.902543024963999
counselor,-2.884083462840815
synonym,2.878913943579371
price,2.860487659157526
deploy,2.8035852508894394
sky,2.8010237497869572
alot,-2.794282668094705
freshman,2.7457369660794835
elmo,-2.7209194845509788
dictionari,2.7194107613920573
dice,2.649241344159145
nsecond,-2.599686380397573
item,-2.566319508688531
n2,-2.529487823449415
instrument,2.51915605204994
sketch,2.492576425906088
grader,2.4678867354083907
larg,2.4304163539658523
sociol,-2.4073734585534767
wow,2.388426203836736
seri,2.383911935595196
request,2.3609571214777043
lcd,2.347357008081768
game,2.3287860901511883
flash,2.313491172196625
marker,2.298333953760746
cartridg,2.2741767933459545
burn,2.2667947857904016
recharg,2.2660376601592747
kindergartn,2.2593411264467593
devour,2.258474236243171
book,2.231883526028949
nonfict,2.2294339763525985
stick,2.2100054364577786
spark,2.2053590986802525
modal,-2.181842815137067
fantast,2.1769775333147128
fire,2.175362258445952
also,2.1669743169898767
valuabl,2.1488079102526902
seat,2.143914618110438
spot,2.142041734932299
calcul,2.1273578726286697
sticker,2.122957712159903
nmost,-2.115028402488933
observ,2.11077521734344
laugh,-2.1053366773948405
mani,2.085241487261889
etc,-2.062913520885466
ring,2.0505676014577006
comfort,2.0496529299064496
syllabl,2.046018320009859
portabl,2.042446291367225
resourc,-2.032362059776025
final,2.0123116838426536
rang,2.0117404793047133
use,2.011584392065866
momentum,2.010945527685123
20,1.9903794736134783
suburban,-1.9867273412814215
award,1.9814869115796645
nyou,-1.9764901431641388
nthi,-1.9598854458731743
sturdi,1.957662808649346
artwork,1.9569317914755955
leapfrog,1.9538637542407802
teacher,-1.9490451258905224
stamp,1.9447740626714862
sort,1.9417977071281862
slide,1.936480635750751
flip,1.9351002164281539
unfortun,1.9301465389304302
sea,1.9215330767569239
set,1.9202645414358104
volleybal,1.9175781753059384
rack,1.906122184733191
pack,1.8839582034156217
nhave,1.8710408215452696
previous,1.8539189678449572
borrow,1.8519552914012514
kinesthet,1.8442039969328472
endless,1.8393901295516712
understand,1.834149052440865
nthey,-1.8339827731482305
perfect,1.832363631631127
assign,1.8310213946647247
air,1.8292046530267885
exposur,-1.8290160082429288
jersey,1.8121216343766635
gotten,1.8089584073294829
collect,1.8001893563096374
stack,1.7915035465464952
basi,1.789246187568059
importantli,1.7890158942336478
machin,1.7882701909344565
thirti,1.7838737936918512
fulli,1.7836015687647904
arm,1.7773700304439846
addit,1.7609324993429785
ball,1.7600832783971427
lastli,1.7502408155549996
post,1.7416371089104568
core,-1.7299298239130463
dot,1.7194212395218749
instant,1.7137001911307905
allow,1.7096156415316326
although,1.7023510894297842
afterschool,-1.6979692273657636
backpack,1.696389700613948
autism,1.691990343304784
violenc,1.683556518448746
via,1.682426239220044
propos,1.6806841377971529
california,1.6806215833024218
savvi,1.6805498920190218
incent,-1.680404541894396
three,1.6751524266205398
classmat,1.6747106540674053
parent,-1.6710295774187547
puzzl,1.6665542459554707
suppli,-1.6662453228579432
practic,1.6648160451553724
releas,1.651240298087514
nstudent,-1.6500465491494725
urban,1.648295930136383
ap,1.6435279515816676
access,1.6427269983707302
30,1.6350636658587459
divers,1.6349008265017697
repetit,1.634057826970073
carpet,1.6331742410781847
assist,-1.6306627711205899
nativ,1.6302455181247595
favorit,1.6285876319915666
nthird,1.6257363601029984
earth,1.6203354715000513
worri,1.6151703998086102
internet,1.6105345376244442
enabl,1.6071979505229135
eread,1.6052759203363527
novel,1.595050860794941
audienc,1.5943751032838718
rug,1.575119474972231
color,1.5710936302233278
someday,1.5585791211290896
chromebook,1.555682028624336
freeli,-1.5486095773072979
beauti,1.5465814479490714
lo,-1.5431202054970843
diagram,1.5428804031122285
ride,1.5389528073471412
aris,1.5364099307500971
son,-1.531979329251162
nthese,-1.5307067289259386
ruin,1.5280894293587144
ethnic,1.5272919639931526
social,-1.5268242212720613
play,1.5210917241961273
whiteboard,1.5193685909431434
screen,1.5176038785071273
florida,1.5064352162048311
rural,1.4959663916826256
sharpen,1.4940711174547052
instantli,1.4933193025606262
peak,-1.4895798485357632
lifelong,1.4872352946961365
introductori,1.4842932410861023
necessari,1.482104552029785
bind,1.4803474982608267
budget,1.4752738176569433
camcord,1.4701481265354952
fewer,1.4698956876006521
expertis,-1.469866553029649
tabl,1.4696819814656463
cd,1.4656146382485997
resist,1.4538971504698681
dive,1.4516225561758433
second,1.4511211170448346
got,1.4495859491642702
anymor,1.4477329851057543
colleg,1.44290175804924
block,1.4423885996588903
news,1.4372065750466079
two,1.4321989373883166
squar,1.431659240780064
diari,1.4311083525096835
hard,1.4283371628567527
donorschoos,1.4279890191449485
protect,1.4221524618431032
public,1.4142737351510846
bodi,1.4122173185398315
kitchen,1.4121060661094371
includ,1.3997331110032387
amaz,1.3982746435061373
chemistri,1.3965625240248074
acryl,1.3956514324715146
difficult,1.3884789876328292
nunfortun,1.3875832594321118
magnet,1.38622368733668
eras,1.3840936941051514
straight,1.3787540051908231
clean,1.3753754043054944
transfer,-1.3749749576149912
easel,1.3742630336937067
part,1.3735150240036236
faster,1.3708392562984806
reader,1.3670613378339285
team,-1.3656529785782248
handl,1.3649030999678706
sit,1.3647256432709154
paragraph,-1.35827192617108
librari,1.3518499438562692
nineti,1.3482737205276143
nthe,-1.3481985898454723
disappoint,1.344017984583572
giant,1.3422853728337325
disciplin,-1.342164119354212
clearli,1.3421092739748754
market,-1.3331645557827536
document,1.3276878373163636
magic,1.3139216024601457
stori,1.3077815524012393
voic,1.3047289041206942
hot,1.303062113056173
establish,-1.3011665507535337
ntest,-1.3004507893306732
copi,1.2992753848779846
syndrom,1.2977024010085576
critiqu,1.2955657592778487
record,1.293948597836951
bowl,1.288846698355933
neg,-1.2884889791685419
classic,1.2874612321743297
batteri,1.2856077259794674
dissect,1.2829471802039991
bookstor,1.2767434639821453
free,1.274684671671238
chevron,1.274025514026656
surviv,-1.2724960390079645
bike,1.2718879139160288
neighbor,1.2619690794015261
21st,1.253928830147842
come,1.248820675393009
forest,1.2469195969084985
compos,1.2457365260111795
constantli,1.2452418615461225
left,1.2449562593474446
storag,1.2418428618295259
fail,-1.2403883232125181
unabl,1.2386082187126515
contain,1.2358872785846522
documentari,1.233960516195103
car,1.2330545996510693
heavi,1.2309519360802468
latin,1.2291069799131364
number,1.2272395114034111
masteri,-1.2266426173492786
ed,-1.2251013686605754
counti,-1.2244726407047208
smaller,1.22401626040448
anyth,-1.2238100497365731
headphon,1.2227356871016422
talk,1.2195388097220965
netbook,1.2034709168855526
qualiti,1.2017558862186806
smoothli,1.1987305178238525
cost,-1.197298696679303
light,-1.196793928055229
cours,1.1938317526501059
poetri,1.1809052793355386
shape,1.1741115320101208
contin,1.1740135113076688
cannot,1.1722922493585146
often,1.1696146723184138
speak,1.167974158455245
measur,1.159795220839345
immens,1.1593208074231687
broken,1.1576858657626732
class,1.1576200084718629
predominantli,-1.1510005614778258
jail,-1.1473359639529086
scratch,1.1437311521243065
children,-1.1436520951076181
headset,1.1415918394334195
essenti,1.1399446760561132
hold,1.138793222146983
thrill,1.1358447545197001
consid,1.1337218663502722
differ,-1.1274906502260313
stricken,1.1232524610957397
sourc,1.123102236785944
bonu,1.1166124742289718
charg,1.1161671525524353
nnow,-1.114408275401677
restraint,-1.1119536542243578
old,1.1110237129156508
misplac,1.108535230703482
atom,1.1070259595178595
particularli,1.1049796726087568
abl,1.0966579062707689
fortun,1.0904439437264808
fraction,1.0902212785593557
mp3,1.0900573969746064
cash,1.0900147348966085
show,1.0890022081112867
nresearch,1.08034622781239
clock,1.0773252341683344
glass,1.066274291599912
jame,1.064230521342834
month,-1.0596219814190626
string,1.0505640930145037
reduc,1.0501806798815632
eighth,1.0485149614353007
facilit,-1.0483777895613953
uncomfort,1.0465578321209994
altern,1.0462187360037407
thesauru,1.0433145107432036
help,-1.0429507238370062
tile,1.0396019154714708
3d,1.0344175227857408
wire,1.0332084767027423
rom,1.0329994809626966
conceptu,1.0325715315269561
journal,1.0284869170110276
box,1.0203325293741643
easili,1.018816526511216
worker,-1.0181639452116216
studi,1.0169639475035839
announc,1.0160143638801338
appreci,-1.0137637385200031
brush,1.0127405143190777
popular,1.0123811683099224
aren,1.00721799121025
elig,1.0069305351061022
nwhile,1.004581967507867
center,1.0040653847640972
trust,-1.0020969659688035
assort,1.0011031754311668
charact,0.9992754599867656
moment,0.996007887399316
provid,0.9934833012966937
count,0.9932086127950541
featur,0.9904457214735303
garden,-0.9892492212614672
appetit,0.988203114507374
strong,0.9865230345132078
incred,0.9861205576205273
ink,0.9846229218730781
root,0.9842196418935764
front,0.9720209073195564
even,0.9718481605623547
envelop,0.9707644366125309
numer,0.9693808771233988
multimedia,0.9670912403048946
fingertip,0.9661888737311465
invent,-0.9658615439791659
score,-0.9648651444098589
partner,0.9641191385731003
plu,0.9607294344580001
power,0.9582610801117615
tennesse,0.9568631744341182
join,0.9530600434671466
pronounc,0.9501285177937967
hundr,0.9497488324952462
replac,0.9494772762330967
danc,-0.9473465690207286
respect,-0.9446824934747712
invit,0.9427013510171064
hurt,-0.9377624318711469
store,0.9375686050692889
theme,0.937437111540235
math,0.9369383594233427
poverti,0.9359697196633564
aspect,0.9344674389082872
coupl,0.9342966332837507
unit,0.9340330449357629
wrap,0.9326829173381294
sentenc,0.9306125336739406
sing,0.9300086884472752
consequ,0.9263960241273628
mostli,-0.9249454576772056
regist,0.9242696007587735
well,0.9240671607034804
loos,0.9237017473566411
hallway,-0.9206053683103572
dynam,0.9200497571393252
cool,0.9182676902823766
sound,0.9157109740224242
young,0.9148485058969141
go,-0.9135947057789535
enough,0.913556382395252
refuge,-0.9134675516022981
last,0.9127252741447864
skill,0.9114948215311575
buy,-0.9111965400814146
socioeconom,0.907487561865865
earli,0.903539005851577
print,0.9033969986147019
intervent,-0.8988544489783588
bunch,0.8983216636756214
nread,-0.8934192549795084
space,0.8899074232260827
kindergarten,0.8887268039659547
plastic,0.8873525889974568
ever,0.886675524201775
variou,0.8857019340328727
life,-0.8856616597063702
answer,0.8837680519729124
wrote,0.8790337384451499
account,0.8784191842255885
goe,0.8755666762159233
